name;size;diameter;shape;details;type;primaryBody;moons;rings;enviroment;population;description;sphere;shortName;onMap?;notes;source;creator;website
The Maw;?;;?;;?;;;;;;;Passarspace;Passar;Yes;;;;
Typhis' Playground;D;;;;Air;;;;;;;Aeneaspace;Aenea;Yes;;;;
Egent;;;;;Air;;;;;Uninhabited?;;Alanthusspace;Alanthus;Yes;;;Susan Brown;
Tengkuo;E;;;;Air;;;;;;;Algolspace;Algol;Yes;;;;
Rani;G;;❄;;Air;;;;;;;Ametsuchispace;Ametsuchi;Yes;;;;
Anki 6;G;;;;Air;;;;;;;Ankispace;Anki;Yes;;;;
Anki 7;G;;;;Air;;;;;;;Ankispace;Anki;Yes;;;;
Samhdi;E;;;;Air;;;;;;;Aquaspace;Aqua;Yes;;;;
Awan;G;88.856;;;Air;;4;;;;;Arthspace;Arth;Yes;;;;
Oloro;F;31.690;;;Air;;5;;;;;Arthspace;Arth;Yes;;;;
Xplanet7;G;74.875;;;Air;;7;ice;;;;Arthspace;Arth;Yes;;;;
Athtin;D;1.450;◗;Disc;Air;Poltina;;;hot;;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Nyseme;G;73.600;❑;;Air;;;;;Humans, Gnomes, Kenkus;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Surg;J;;;;Air;;;;;;;Atridaspace;Atrida;Yes;arctic dinosaus & Xorn-like;;;
Avidarel Mist Belt;;;‡;;Air;;;;;;;Avidarelspace;Avidarel;Yes;;;;
Dustbite;F;;;;Air;;4;;;;;Banesun;Banesun;Yes;;;;
Hp'Xyn;G;;;;Air;;6;2;;;;Banesun;Banesun;Yes;Water core;;;
Karanst;F;;Ο;;Air;;;;;;;Beltoun;Beltoun;Yes;;;;
Talf;J;;;;Air;;;;;;;Beltoun;Beltoun;Yes;;;;
Xafibel;J;;❄;;Air;;;;;;;Beltoun;Beltoun;Yes;;;;
Calisto;F;;;;Air;;5;;;;;Bloodspace;Blood;Yes;;;;
Laerme;G;;;;Air;;4;;;;;Bloodspace;Blood;Yes;;;;
Hulior;G;;;;Air;;3;;;;;Ceyparisphere;Ceypari;Yes;;;;
Wind Shell;;;;Shell;Air;;;;;;;Ceyparisphere;Ceypari;Yes;;;;
Aphrodite;G;;;;Air;;5;1;;;;CharSpace  ;Char;Yes;;;;
Apollo;F;;;;Air;;3;;;;;CharSpace  ;Char;Yes;;;;
Zeus;G;;;;Air;;6;;;;;CharSpace  ;Char;Yes;;;;
Bialtur;I;;;;Air;;;;;;;Chromaspace;Chroma;Yes;;;;
Chronos;;;;;Air;;;;;;;Chronosspace ;Chronos;Yes;magocracy;;;
Eros;;;;;Air;;;;;;;Chronosspace ;Chronos;Yes;;;;
Rainbow;G;;;;Air;;3;;foul atmosphere;;;Cloudspace;Cloud;Yes;3 moons (Athanor, Paradise, Snowflake);;;
Sequel;I;;;;Air;;;;;;;Countspace  ;Count;Yes;;;;
Series;F;;;;Air;;;;;;;Countspace  ;Count;Yes;;;;
Rajaat;F;;;;Air;;3;;;;;Crimson Sphere;Crimson;Yes;;;;
Tayorala;J;;❄;;Air;;;;;;;Cy'Prenspace;Cy'Pren;Yes;;;;
Aversia;H;648.000;;;Air;;;fire;;;;Dreadmindspace;Dreadmind;Yes;;;;
Revulas;D;1.281;◗;;Air;;;;;;;Dreadmindspace;Dreadmind;Yes;;;;
Odorngshrah;G;;;;Air;;9;;;Dragons;;Elespatio/Latierra;Elespatio;Yes;;;;
Flanting;;;Ο;;Air;;;;;;;Emongspace;Emong;Yes;;;Susan Brown;
Drer;D;;;;Air;;;;;;;Fallspace;Fall;Yes;;;;
Ssovos;G;;;;Air;;5;;;;;Falxspace;Falx;Yes;5 moons (Eldreth, Thoon, Yrpic, Ryloth, Phios);;;
Yrykos;D;;;;Air;;;;;;;Falxspace;Falx;Yes;;;;
Aerlofalyn;;;;;Air;;;;;;;Falynspace;Falyn;Yes;destroyed by goblinoid forces in the First Unhuman War.;The Maelstrom's Eye, p39.;;
Lyro;;;;;Air;;;;;;;Sword World Space;Forcelia;Yes;;;;
Airbound;F;;;;Air;;;;;;;Formspace;Form;Yes;;;;
Belagin;G;;;;Air;;;;;;;Gatespace;Gate;Yes;;;;
Krensar;F;;△;;Air;;;;;;;Gatespace;Gate;Yes;Octahedron;;;
Cloud Giant;J;;;;Air;;;;;;;Giantspace ;Giant;Yes;;;;
Gladius Belt;;;‡;;Air;;;;;;gladitorial culture;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Morriah;I;;;;Air;;;;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Bretheda;G;;;;Air;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Bretheda
Liavara;F;;;;Air;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Liavara
Zephyr;C;400;;;Air;Golotspace Belt;;;;;;Golotspace;Golot;Yes;;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/AsteroidBelt.html
Gorth 5;E;;;;Air;;;;;;;Gorthspace;Gorth;Yes;;;Charles Taylor;
Kal'kalo;D;;△;Hemisphere;Air;Sacafeda;;;music;;;Gossamerspace;Gossamer;Yes;;;;
Sacafeda;H;;;;Air;;6;5;;;;Gossamerspace;Gossamer;Yes;;;;
Edill;G;;;;Air;;;;;;;Greyspace;Grey;Yes;;;;
Gnibile;G;;;;Air;;;;;;;Greyspace;Grey;Yes;;;;
Umbala;C;;Ο;;Air;;;;;;;Grommspace  ;Gromm;Yes;;;;
Zeanith;B;;❄;;Air;;;;;;;Harthspace;Harth;Yes;;;;
Loom;G;;Ο;Ovoid;Air;;;;;;;Heartspace;Heart;Yes;;;;
Arish;G;;◗;Disk;Air;;;;;;;Heatspace  ;Heat;Yes;;;;
Heat;E;;‡;;Air;;;;;;;Heatspace  ;Heat;Yes;;;;
Apoll;C;;❑;;Air;;;fire;;;;Hyrkulspace;Hyrkul;Yes;;;;
Hephæ;D;;;;Air;;4;;hot;;;Hyrkulspace;Hyrkul;Yes;;;;
Zeu;H;;;;Air;;13;;;;;Hyrkulspace;Hyrkul;Yes;;;;
Springtime;G;;;;Air;;22;;;;;Imperial Space;Imperial;Yes;;;;
The Eye of the Wyrm;G;99.200;;;Air;;;earth;;;;Ironspace;Iron;Yes;;Privateer Press;;http://privateerpress.com/iron-kingdoms
Enutpen;F;30.775;;;Air;;9;1;Poisonous;Uninhabited;;Majspace;Maj;Yes;;;;
Nrutas;G;74.898;;;Air;;many;many;Poisonous;Uninhabited;;Majspace;Maj;Yes;;;;
Retipuj;G;86.881;;;Air;;many;1;Poisonous;Uninhabited;;Majspace;Maj;Yes;;;;
Sunaru;F;31.763;;;Air;;15;1;Poisonous;Uninhabited;;Majspace;Maj;Yes;;;;
Khoronus;G;;;;Air;;;;;;;Mystaraspace;Mystara;Yes;;;;
Tarastiae;G;;;;Air;;;1;;;;Mystaraspace;Mystara;Yes;;;;
The Fraze;A;;‡;;Air;;;;;;;Nalspace;Nal;Yes;;;;
Alabeth;G;;;;Air;;;;;;;Nebulaspace;Nebula;Yes;;SJR4 p.33;;
Gnassas;F;;;;Air;;;;;Kindori;;Nerenspace;Neren;Yes;;;;
Phobost;C;;;;Air;;;;Frozen;;;Nexspace  ;Nex;Yes;;;;
Plateau;E;;;;Air;;;;;;;Nivelspace;Nivel;Yes;;;;
Hurlock;F;;❄;;Air;;;;;;;Octorspace;Octor;Yes;Nebula;;;
Kolin;H;;;;Air;;2;;;;;Octorspace;Octor;Yes;;;;
Gobul;;;;;Air;;;;;Dragons;;Omnispace;Omni;Yes;layered;;;
Corrigere;E;;;;Air;;;;Toxic deeps;;;Orthospace;Ortho;Yes;;;;
Tefir;G;;;;Air;;;fire;;;;Osraspace;Osra;Yes;;;;
Artimis;F;;;;Air;;6;;;;;Pheolitespace;Pheolite;Yes;;;;
The Dust Clouds;D;;;;Air;;;;;;;Ragespace  ;Rage;Yes;;;;
Garolas;G;;;;Air;;12;;;;;Ragestarspace;Ragestar;Yes;;;;
Gia-Uetau'auv'twg;F;;;;Air;;;Air;;Beholders;;Ragestarspace;Ragestar;Yes;;;;
Shaseth;G;;;;Air;;11;;;;;Ragestarspace;Ragestar;Yes;;;;
Thaskal-Ngr;G;;;;Air;;17;;;;;Ragestarspace;Ragestar;Yes;;;;
Twins of Tempest;F;;;;Air;;;;;;Twin Gas Giants;Ragestarspace;Ragestar;Yes;;;;http://lost.spelljammer.org/DrawingBoard/worlds/TwinsOfTempest.html
Coliar;G;;;;Air;;;;;;;Realmspace;Realm;Yes;;;;
Knol;G;;;;Air;;;;;;;Rhymespace;Rhyme;Yes;;;;
Saros;D;;;;Air;;1;;;;;Runedarspace;Runedar;Yes;1 fire moon;;;
Bomryn;F;;;;Air;;1;;;;;Saruspace;Saru;Yes;sargasso, moon (Cirvir);;;
Maranuir;F;;;;Air;;5;;Cold;;;Saruspace;Saru;Yes;;;;
Areatia;;;;;Air;Sarûnia;;;;;;Sarûniaspace;Sarûnia;Yes;;;Twin Agate Dragons;http://pathfinderrpgcampaignsettingsarunia.blogspot.co.uk/
Phy;C;;;;Air;;;;;;;Seaspace  ;Sea;Yes;;;;
Rhy;C;;;;Air;;;;;;;Seaspace  ;Sea;Yes;;;;
Sky Tyrant;I;;;;Air;;;;;;;Seaspace  ;Sea;Yes;;;;
Thy;C;;;;Air;;;;;;;Seaspace  ;Sea;Yes;;;;
Dofloogah;;;;;Air;;2;green flame;;;;Seskotspace;Seskot;Yes;;;;
Wirrit;B;;;;Air;;;;;;;Shadowspace;Shadow;Yes;;;;
The Devourer;F;25.677;;;Air;;125;Thin Red;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
The Fury;G;52.143;;;Air;;42;Thin ice;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
The Keeper;F;26.098;;;Air;;96;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
The Shadow;G;94.247;;;Air;;12;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Nubis;E;;;;Air;;;;;;;Skyspace  ;Sky;Yes;;SJR4 p.37;;
Gandorine;;;;;Air;;;;;;;Solarisspace;Solaris;Yes;;;;
