sphere;shortName;onMap?;gridRef;xCoord;yCoord;sphereRadius;primaryBody;Planet 1;Orbit Radius (million miles);Orbit Track;Planet 2;Orbit Radius (million miles);Orbit Track;Planet 3;Orbit Radius (million miles);Orbit Track;Planet 4;Orbit Radius (million miles);Orbit Track;Planet 5;Orbit Radius (million miles);Orbit Track;Planet 6;Orbit Radius (million miles);Orbit Track;Planet 7;Orbit Radius (million miles);Orbit Track;Planet 8;Orbit Radius (million miles);Orbit Track;Planet 9;Orbit Radius (million miles);Orbit Track;Planet 10;Orbit Radius (million miles);Orbit Track;Planet 11;Orbit Radius (million miles);Orbit Track;Planet 12;Orbit Radius (million miles);Orbit Track;Planet 13;Orbit Radius (million miles);Orbit Track;Planet 14;Orbit Radius (million miles);Orbit Track;Planet 15;Orbit Radius (million miles);Orbit Track;Planet 16;Orbit Radius (million miles);Orbit Track;Planet 17;Orbit Radius (million miles);Orbit Track;Planet 18;Orbit Radius (million miles);Orbit Track;Planet 19;Orbit Radius (million miles);Orbit Track;Planet 20;Orbit Radius (million miles);Orbit Track;Planet 21;Orbit Radius (million miles);Orbit Track;Planet 22;Orbit Radius (million miles);Orbit Track;Planet 23;Orbit Radius (million miles);Orbit Track;region;flowRiver;population;activity;controlled;description;source;creator;website;isKnown
Ouiyanspace;Ouiyan;Yes;A1;30;400;3046;;;1523;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trulian Ring;None;None;None;The Broken Sphere;TCMC6 p.246;Nigel Findley;;no
Preyspace  ;Prey;Yes;A10;38;176;782;Warclock;Neutrality;52;I3;Crossfire;124;I6;Skull;130;I7;Empty;196;I10;The Comet;290;I15;Brek|qq|zz;391;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Moderate;Cymbrogi;It is named for the great amount of fighting that is done within the sphere.;;Rovion;;no
Nyrodspace;Nyrod;Yes;A12;36;120;11124;New Sun;Hel;18;I1;Tandris;95;I5;Neir;127;I6;Aldredd;243;I12;Nyrod;326;O1;Dracos, Nyrodspace;374;O1;The Red Star;827;O2;Shroud;1572;O4;Infernus;1998;O5;Kathenira;2566;O6;Aluvia;3794;O9;Reldain;4251;O11;Methadria Cluster;5562;O14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://www.freewebs.com/nyrod/theworlds.htm;no
Sourcespace  ;Source;Yes;A2;31;370;3290;;;44;I2;;74;I4;;91;I5;;113;I6;;205;I10;;284;I14;;358;O1;;1645;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mutami;;no
Seaspace  ;Sea;Yes;A4;17;325;2338;Sun, Seaspace;Sky Tyrant;30;I2;Gemini;83;I4;Yorgpor;190;I10;Thalassa;224;I11;Phy;389;O1;Thy;773;O2;Rhy;1169;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;It is named for the great oceans that lie within space itself.;;Rovion;;no
Splatterspace;Splatter;Yes;A5;24;291;0;Godshome;;0,005;I0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jim Sheetz;lost.spelljammer.org/DrawingBoard/worlds/Splatterspace.html;no
Konekspace;Konek;Yes;A7;23;252;8718;;;66;I3;;109;I5;;111;I6;;160;I8;;268;I13;;396;O1;;1175;O3;;2417;O6;;4027;O10;;4359;O11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charles Taylor;;yes
Crimson Sphere;Crimson;Yes;A8;31;210;3168;Dark Sun;Cinder;8;I0;Athas;125;I6;The Sextant;247;I12;K'ydon;372;O1;Rajaat;1584;O4;Black Gulf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lost Spheres;;Various;Low;Wardens;The sphere of the Dark Sun campign;Dark Sun;TSR/Adam Miller;www.spelljammer.org/worlds/CrimsonSphere;no
Thunderspace;Thunder;Yes;B1;60;395;338;Empty;;40;I2;Rollthunder;169;I8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;no
Thrustspace  ;Thrust;Yes;B10;45;167;710;Eclipse;Krtakit;116;I6;Kiz-kar;197;I10;Kista-kar;294;I15;Kitamer;355;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;Cymbrogi;It is named due to the greater spelljamming capabilities ships recieve upon entering it.;;Rovion;;no
